hazard,trauma_vulnerability,cognitive_bias,dissonance,solidarity,observed_risk,structural_expected_risk,sample_n
ordinary,0,0,0,0,0.100840,0.100962,200000
ordinary,0,0,1,0,0.120290,0.120962,200000
ordinary,0,1,0,0,0.160400,0.160962,200000
ordinary,0,1,1,0,0.191150,0.190962,200000
ordinary,1,0,0,0,0.180780,0.180962,200000
ordinary,1,0,1,0,0.211495,0.210962,200000
ordinary,1,1,0,0,0.261425,0.260962,200000
ordinary,1,1,1,0,0.311305,0.310962,200000
natural,0,0,0,0,0.201190,0.200962,200000
natural,0,0,0,1,0.160400,0.160962,200000
natural,0,0,1,0,0.231825,0.230962,200000
natural,0,0,1,1,0.191150,0.190962,200000
natural,0,1,0,0,0.271420,0.270962,200000
natural,0,1,0,1,0.231825,0.230962,200000
natural,0,1,1,0,0.311305,0.310962,200000
natural,0,1,1,1,0.271420,0.270962,200000
natural,1,0,0,0,0.291165,0.290962,200000
natural,1,0,0,1,0.251735,0.250962,200000
natural,1,0,1,0,0.331535,0.330962,200000
natural,1,0,1,1,0.291165,0.290962,200000
natural,1,1,0,0,0.380555,0.380962,200000
natural,1,1,0,1,0.341385,0.340962,200000
natural,1,1,1,0,0.440815,0.440962,200000
natural,1,1,1,1,0.400760,0.400962,200000
human-caused,0,0,0,0,0.241565,0.240962,200000
human-caused,0,0,0,1,0.201190,0.200962,200000
human-caused,0,0,1,0,0.271420,0.270962,200000
human-caused,0,0,1,1,0.231825,0.230962,200000
human-caused,0,1,0,0,0.311305,0.310962,200000
human-caused,0,1,0,1,0.271420,0.270962,200000
human-caused,0,1,1,0,0.350985,0.350962,200000
human-caused,0,1,1,1,0.311305,0.310962,200000
human-caused,1,0,0,0,0.331535,0.330962,200000
human-caused,1,0,0,1,0.291165,0.290962,200000
human-caused,1,0,1,0,0.370965,0.370962,200000
human-caused,1,0,1,1,0.331535,0.330962,200000
human-caused,1,1,0,0,0.420760,0.420962,200000
human-caused,1,1,0,1,0.380555,0.380962,200000
human-caused,1,1,1,0,0.480540,0.480962,200000
human-caused,1,1,1,1,0.440815,0.440962,200000
